0,0,123,0,1,0,20,0,
1,3,123,0,1,0,23,0,
2,17,123,0,1,0,40,0,
3,20,123,0,1,1,0,0,
4,60,123,0,1,2,0,0,
5,50,123,0,1,2,50,0,
6,10,123,0,1,3,0,0,
7,60,123,0,1,4,0,0,
8,60,123,0,1,5,0,0,
9,40,123,0,1,5,40,0,
10,20,123,0,1,6,0,0,
11,60,123,0,1,7,0,0,
12,60,123,0,1,8,0,0,
13,60,123,0,1,9,0,0,
14,60,123,0,1,10,0,0,
15,60,123,0,1,11,0,0,
16,60,123,0,1,12,0,0,
17,60,123,0,1,13,0,0,
18,60,123,0,1,14,0,0,
19,60,123,0,1,15,0,0,
20,60,123,0,1,16,0,0,
21,60,123,0,1,17,0,0,
22,60,123,0,1,18,0,0,
23,60,123,0,1,19,0,0,
24,60,123,0,1,20,0,0,
25,60,123,0,1,21,0,0,
26,60,123,0,1,22,0,0,
27,40,123,0,1,22,40,0,
28,20,123,0,1,23,0,0,
29,20,123,0,1,23,20,0,
